account_id,loan_amount,interest_rate,credit_score,payment_history,balance,region,last_transaction_amount,age,income,account_type,is_anomaly,ai_explanation
48,56115.86,6.11,631,"[0, 0, 1, 0, 0]",55115.86,Manitoba,80.74,39,59354.04,Personal,0,This record falls within expected operational limits.
49,73459.21,4.52,578,"[1, 0, 0, 0, 0]",72459.21,Manitoba,1266.88,24,76059.37,Personal,0,This record falls within expected operational limits.
50,71965.63,5.56,650,"[0, 0, 0, 0, 0]",71965.63,Alberta,608.97,57,75238.6,Mortgage,0,This record falls within expected operational limits.
51,57400.16,6.24,617,"[0, 0, 0, 0, 0]",57400.16,Ontario,653.9,44,98190.01,Mortgage,0,This record falls within expected operational limits.
52,75475.81,5.62,637,"[0, 0, 0, 0, 1]",74475.81,British Columbia,3705.03,57,141910.65,Mortgage,0,This record falls within expected operational limits.
53,158035.6,6.08,606,"[0, 0, 0, 0, 0]",158035.6,Quebec,2334.51,43,146910.91,Mortgage,0,This record falls within expected operational limits.
54,55176.64,5.71,673,"[0, 0, 0, 1, 0]",54176.64,Ontario,5546.62,63,53869.34,Business,0,This record falls within expected operational limits.
55,122621.44,3.85,670,"[0, 1, 0, 0, 1]",120621.44,Alberta,2648.22,59,66657.78,Business,0,This record falls within expected operational limits.
56,84547.49,5.94,695,"[0, 0, 0, 0, 1]",83547.49,Quebec,1663.58,43,116588.84,Personal,0,This record falls within expected operational limits.
57,139801.75,5.57,671,"[0, 0, 0, 0, 0]",139801.75,Alberta,-1468.62,22,129095.54,Business,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
58,69316.03,5.72,729,"[1, 0, 0, 0, 0]",68316.03,Ontario,3926.86,59,118690.26,Business,0,This record falls within expected operational limits.
59,9380.34,5.56,594,"[0, 1, 0, 0, 1]",7380.34,Quebec,1719.38,54,121276.65,Business,0,This record falls within expected operational limits.
60,-7331.86,4.0,675,"[0, 0, 0, 0, 0]",-7331.86,Ontario,1407.93,47,72789.63,Business,0,This record falls within expected operational limits.
61,134614.32,5.57,614,"[0, 0, 0, 0, 0]",134614.32,Quebec,2173.47,39,124090.12,Personal,0,This record falls within expected operational limits.
62,-11651.0,5.01,574,"[0, 0, 0, 0, 0]",-11651.0,Alberta,2755.64,42,65016.54,Business,0,This record falls within expected operational limits.
63,108870.61,6.4,681,"[0, 0, 0, 0, 1]",107870.61,Manitoba,463.12,31,62321.19,Personal,0,This record falls within expected operational limits.
64,135130.31,4.6,598,"[0, 0, 1, 0, 0]",134130.31,Ontario,2406.39,59,47995.48,Business,0,This record falls within expected operational limits.
65,126158.17,4.95,668,"[1, 0, 1, 0, 0]",124158.17,Ontario,1922.62,22,123776.53,Business,0,This record falls within expected operational limits.
66,91785.57,6.45,627,"[1, 0, 0, 1, 0]",89785.57,Alberta,3026.69,41,80499.25,Personal,0,This record falls within expected operational limits.
67,58323.26,4.75,609,"[0, 0, 0, 0, 0]",58323.26,Alberta,1302.64,32,49069.04,Personal,0,This record falls within expected operational limits.
68,136473.06,4.43,617,"[0, 0, 0, 0, 0]",136473.06,Quebec,3642.22,61,96382.8,Mortgage,0,This record falls within expected operational limits.
69,91530.64,8.77,718,"[0, 1, 0, 0, 0]",90530.64,Manitoba,3490.58,45,73327.33,Mortgage,0,This record falls within expected operational limits.
70,86690.67,6.74,775,"[0, 0, 0, 0, 0]",86690.67,Manitoba,637.86,34,40728.68,Personal,0,This record falls within expected operational limits.
71,61437.95,3.14,772,"[1, 0, 0, 0, 0]",60437.95,Quebec,1886.18,43,87155.09,Business,0,This record falls within expected operational limits.
72,19292.35,5.62,599,"[0, 0, 0, 0, 0]",19292.35,Alberta,737.53,27,71178.07,Mortgage,0,This record falls within expected operational limits.
73,112680.49,6.94,698,"[0, 0, 0, 0, 0]",112680.49,British Columbia,953.56,49,110662.49,Personal,0,This record falls within expected operational limits.
74,94589.65,3.73,726,"[0, 0, 0, 0, 0]",94589.65,Manitoba,3571.79,67,93651.55,Business,0,This record falls within expected operational limits.
75,78968.63,4.45,650,"[0, 0, 0, 0, 1]",77968.63,British Columbia,5063.83,50,125115.32,Mortgage,0,This record falls within expected operational limits.
76,61642.32,4.64,588,"[0, 0, 0, 0, 1]",60642.32,Alberta,814.03,51,51182.08,Mortgage,0,This record falls within expected operational limits.
77,75871.06,6.66,596,"[1, 0, 0, 0, 0]",74871.06,British Columbia,-1358.06,59,95397.39,Business,0,This record falls within expected operational limits.
78,241454.96,2.93,672,"[0, 0, 1, 0, 0]",240454.96,Quebec,1888.8,27,65266.19,Personal,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
79,59456.78,6.32,682,"[0, 0, 0, 0, 0]",59456.78,British Columbia,2890.8,29,70449.25,Business,0,This record falls within expected operational limits.
80,60639.92,6.48,733,"[0, 0, 0, 1, 0]",59639.92,Manitoba,451.74,22,43982.32,Business,0,This record falls within expected operational limits.
81,44428.41,4.05,703,"[0, 1, 1, 0, 0]",42428.41,Quebec,1454.56,30,91590.91,Business,0,This record falls within expected operational limits.
82,100363.58,2.77,590,"[0, 0, 0, 0, 0]",100363.58,Manitoba,1246.25,21,50822.26,Business,0,This record falls within expected operational limits.
83,136596.74,6.06,694,"[1, 1, 0, 0, 0]",134596.74,Alberta,1002.92,50,79387.65,Personal,0,This record falls within expected operational limits.
84,152747.97,2.78,726,"[1, 0, 1, 0, 0]",150747.97,Manitoba,652.18,69,13510.79,Business,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
85,50201.49,3.83,594,"[0, 0, 0, 1, 0]",49201.49,British Columbia,1640.55,42,138850.65,Mortgage,0,This record falls within expected operational limits.
86,14769.41,5.85,803,"[0, 0, 0, 1, 0]",13769.41,British Columbia,2499.46,66,48123.8,Business,0,This record falls within expected operational limits.
87,18526.53,4.83,776,"[0, 0, 0, 0, 0]",18526.53,British Columbia,5326.48,47,125450.1,Business,0,This record falls within expected operational limits.
88,17496.81,3.45,505,"[0, 0, 0, 0, 0]",17496.81,Ontario,1630.99,42,81890.87,Business,0,This record falls within expected operational limits.
89,57202.64,4.03,680,"[0, 0, 0, 0, 0]",57202.64,Ontario,-545.77,47,118444.5,Personal,0,This record falls within expected operational limits.
90,29615.97,5.6,642,"[0, 0, 0, 1, 0]",28615.97,British Columbia,2848.25,62,98608.36,Business,0,This record falls within expected operational limits.
91,77038.79,7.33,609,"[1, 0, 0, 1, 0]",75038.79,British Columbia,4484.19,48,89673.37,Business,0,This record falls within expected operational limits.
92,8587.48,8.52,733,"[0, 0, 0, 0, 1]",7587.48,Ontario,1282.66,22,77689.02,Mortgage,0,This record falls within expected operational limits.
93,121374.75,5.91,687,"[1, 0, 0, 0, 0]",120374.75,British Columbia,2492.68,59,87382.32,Business,0,This record falls within expected operational limits.
94,57446.86,4.45,609,"[0, 0, 0, 0, 0]",57446.86,Alberta,543.59,53,34104.74,Personal,0,This record falls within expected operational limits.
95,-5682.57,3.76,675,"[0, 0, 0, 0, 0]",-5682.57,Quebec,1951.92,34,40351.97,Mortgage,0,This record falls within expected operational limits.
96,82858.58,7.36,567,"[1, 0, 0, 0, 0]",81858.58,Alberta,3267.63,27,69703.01,Personal,0,This record falls within expected operational limits.
97,71356.14,2.85,772,"[0, 0, 0, 0, 1]",70356.14,British Columbia,2398.76,54,63401.29,Mortgage,0,This record falls within expected operational limits.
98,29968.66,4.48,572,"[0, 0, 0, 0, 1]",28968.66,Quebec,2690.36,57,88820.54,Mortgage,0,This record falls within expected operational limits.
99,74818.77,4.36,553,"[0, 0, 1, 0, 0]",73818.77,Alberta,5115.48,69,127652.15,Personal,0,This record falls within expected operational limits.
100,109746.05,3.74,685,"[0, 0, 0, 0, 0]",109746.05,Ontario,1380.04,53,77474.58,Mortgage,0,This record falls within expected operational limits.
101,137575.18,4.52,622,"[1, 0, 0, 0, 0]",136575.18,British Columbia,2369.13,21,61352.2,Business,0,This record falls within expected operational limits.
102,98856.28,8.84,488,"[0, 0, 0, 0, 0]",98856.28,Ontario,3078.08,42,141706.48,Personal,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
103,-10707.05,4.73,680,"[0, 0, 0, 0, 0]",-10707.05,Ontario,1261.38,21,116946.65,Business,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
104,31262.06,5.35,648,"[0, 0, 0, 0, 1]",30262.06,Manitoba,1224.69,57,22235.63,Mortgage,0,This record falls within expected operational limits.
105,15338.98,8.47,557,"[0, 1, 0, 0, 0]",14338.98,Manitoba,3869.28,57,32216.49,Mortgage,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
106,93353.17,6.34,718,"[0, 0, 0, 1, 0]",92353.17,Alberta,2176.7,65,68132.06,Personal,0,This record falls within expected operational limits.
107,133805.62,3.49,606,"[0, 0, 0, 0, 0]",133805.62,British Columbia,1922.47,66,115517.1,Personal,0,This record falls within expected operational limits.
108,123155.74,8.23,569,"[0, 0, 0, 0, 0]",123155.74,Ontario,2078.3,23,51274.45,Mortgage,0,This record falls within expected operational limits.
109,18438.08,4.17,646,"[0, 0, 0, 0, 0]",18438.08,Manitoba,2990.77,46,88482.98,Business,0,This record falls within expected operational limits.
110,117712.23,4.41,753,"[0, 0, 0, 1, 0]",116712.23,Manitoba,4209.08,23,9818.27,Personal,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
111,92548.33,7.44,800,"[0, 0, 0, 0, 1]",91548.33,Manitoba,5093.11,30,69161.9,Business,0,This record falls within expected operational limits.
112,115346.61,8.39,672,"[0, 1, 0, 0, 0]",114346.61,Alberta,910.14,60,46348.24,Personal,0,This record falls within expected operational limits.
113,87479.93,3.91,723,"[0, 0, 0, 0, 0]",87479.93,Alberta,2814.91,28,49355.59,Business,0,This record falls within expected operational limits.
114,90343.81,8.58,575,"[0, 0, 0, 0, 0]",90343.81,Manitoba,1025.85,59,96570.04,Personal,0,This record falls within expected operational limits.
115,148780.45,4.78,588,"[0, 0, 0, 0, 0]",148780.45,Quebec,2031.05,41,71888.43,Personal,0,This record falls within expected operational limits.
116,67995.54,6.54,703,"[0, 0, 0, 0, 0]",67995.54,Manitoba,1800.0,26,111096.01,Business,0,This record falls within expected operational limits.
117,72320.02,3.85,710,"[0, 0, 0, 0, 0]",72320.02,British Columbia,2264.53,24,83203.02,Business,0,This record falls within expected operational limits.
118,55477.35,6.89,573,"[0, 0, 0, 0, 1]",54477.35,Quebec,675.4,33,59933.4,Business,0,This record falls within expected operational limits.
119,163680.06,5.95,626,"[0, 0, 0, 0, 0]",163680.06,Ontario,1715.49,25,82645.72,Personal,0,This record falls within expected operational limits.
120,33561.87,5.74,562,"[0, 0, 0, 0, 0]",33561.87,Ontario,4772.58,69,102885.29,Mortgage,0,This record falls within expected operational limits.
121,106190.52,1.53,615,"[0, 1, 0, 0, 1]",104190.52,Quebec,1750.95,32,60675.43,Mortgage,0,This record falls within expected operational limits.
122,60116.01,6.17,675,"[0, 0, 0, 0, 0]",60116.01,Quebec,3782.7,28,61476.14,Mortgage,0,This record falls within expected operational limits.
123,127440.95,4.27,732,"[0, 1, 1, 0, 0]",125440.95,Manitoba,2969.12,68,90746.78,Mortgage,0,This record falls within expected operational limits.
124,36768.46,6.94,681,"[0, 0, 0, 0, 0]",36768.46,British Columbia,2670.32,25,80390.81,Business,0,This record falls within expected operational limits.
125,119834.78,3.55,680,"[0, 0, 0, 0, 0]",119834.78,Alberta,2939.16,21,75969.45,Mortgage,0,This record falls within expected operational limits.
126,89112.02,9.08,801,"[0, 0, 0, 0, 0]",89112.02,Quebec,3759.29,45,52670.44,Mortgage,0,This record falls within expected operational limits.
127,2602.93,3.48,656,"[0, 0, 0, 1, 0]",1602.93,Alberta,1623.99,24,107731.12,Personal,0,This record falls within expected operational limits.
128,124244.08,8.67,624,"[0, 1, 0, 1, 1]",121244.08,Manitoba,1249.77,39,85746.73,Business,0,This record falls within expected operational limits.
129,103433.62,4.66,692,"[0, 0, 0, 1, 0]",102433.62,Manitoba,-1029.44,54,86934.6,Personal,0,This record falls within expected operational limits.
130,56417.33,6.76,712,"[1, 0, 1, 0, 1]",53417.33,Quebec,1093.35,42,82099.73,Mortgage,0,This record falls within expected operational limits.
131,108987.21,3.93,704,"[0, 1, 0, 1, 0]",106987.21,British Columbia,3229.32,29,82406.47,Business,0,This record falls within expected operational limits.
132,89379.49,3.3,620,"[0, 0, 0, 0, 0]",89379.49,Quebec,2751.69,21,79485.69,Business,0,This record falls within expected operational limits.
133,146932.75,5.01,672,"[0, 0, 0, 0, 0]",146932.75,Manitoba,2886.42,58,40167.36,Mortgage,0,This record falls within expected operational limits.
134,-11498.05,5.38,719,"[0, 1, 0, 0, 0]",-12498.05,Alberta,3264.42,53,109004.71,Business,0,This record falls within expected operational limits.
135,20493.7,5.47,694,"[0, 0, 1, 0, 0]",19493.7,Manitoba,4780.51,49,85716.7,Personal,0,This record falls within expected operational limits.
136,41627.76,4.54,567,"[1, 1, 0, 0, 1]",38627.76,Alberta,5989.72,55,87709.64,Business,0,This record falls within expected operational limits.
137,115500.05,4.34,693,"[0, 0, 0, 1, 1]",113500.05,Quebec,3324.7,61,82790.8,Personal,0,This record falls within expected operational limits.
138,20934.02,4.21,598,"[1, 0, 1, 0, 0]",18934.02,Quebec,2395.11,59,87137.47,Personal,0,This record falls within expected operational limits.
139,84257.83,6.02,693,"[0, 0, 0, 1, 0]",83257.83,Manitoba,3053.82,64,57938.06,Personal,0,This record falls within expected operational limits.
140,148295.32,5.33,768,"[0, 1, 0, 0, 1]",146295.32,Quebec,1702.89,68,84427.2,Mortgage,0,This record falls within expected operational limits.
141,33914.09,7.74,556,"[0, 0, 0, 0, 0]",33914.09,Manitoba,1028.97,55,109240.19,Personal,0,This record falls within expected operational limits.
142,100196.49,6.99,609,"[0, 0, 0, 0, 0]",100196.49,British Columbia,2183.5,22,35014.68,Mortgage,0,This record falls within expected operational limits.
143,89739.0,5.42,629,"[0, 0, 0, 0, 0]",89739.0,Ontario,2709.74,53,79746.0,Mortgage,0,This record falls within expected operational limits.
144,63991.12,3.91,702,"[0, 0, 0, 0, 0]",63991.12,Quebec,2719.68,62,104431.92,Personal,0,This record falls within expected operational limits.
145,103163.99,4.93,562,"[0, 0, 0, 0, 0]",103163.99,Ontario,2778.87,69,92595.64,Personal,0,This record falls within expected operational limits.
146,48138.98,8.46,738,"[0, 0, 0, 0, 0]",48138.98,Alberta,4639.66,40,96827.66,Business,0,This record falls within expected operational limits.
147,111634.71,4.66,523,"[0, 0, 1, 1, 0]",109634.71,British Columbia,280.78,54,59652.35,Mortgage,0,This record falls within expected operational limits.
148,92728.33,4.0,578,"[0, 0, 0, 0, 0]",92728.33,Manitoba,2817.62,39,78721.74,Business,0,This record falls within expected operational limits.
149,5365.39,6.2,549,"[0, 1, 0, 1, 0]",3365.39,Quebec,4723.79,69,93287.39,Business,0,This record falls within expected operational limits.
150,13499.75,6.4,698,"[0, 0, 0, 1, 0]",12499.75,Ontario,735.26,52,105487.04,Personal,0,This record falls within expected operational limits.
151,50150.94,5.53,611,"[0, 1, 0, 1, 0]",48150.94,Alberta,493.05,44,94245.11,Business,0,This record falls within expected operational limits.
152,128484.43,8.18,678,"[0, 0, 0, 1, 1]",126484.43,British Columbia,2698.56,68,36409.72,Business,0,This record falls within expected operational limits.
153,62512.77,7.4,782,"[0, 0, 0, 0, 1]",61512.77,Manitoba,2687.24,47,99865.03,Mortgage,0,This record falls within expected operational limits.
154,32796.35,5.25,621,"[0, 0, 0, 0, 0]",32796.35,Alberta,959.29,32,84530.27,Mortgage,0,This record falls within expected operational limits.
155,54717.28,6.65,597,"[0, 0, 0, 1, 0]",53717.28,Ontario,2946.7,29,78693.03,Mortgage,0,This record falls within expected operational limits.
156,45364.92,3.67,647,"[0, 0, 0, 0, 0]",45364.92,Alberta,3607.23,60,129599.34,Business,0,This record falls within expected operational limits.
157,28655.27,6.78,604,"[0, 0, 0, 0, 0]",28655.27,Quebec,3132.61,58,69990.82,Personal,0,This record falls within expected operational limits.
158,89746.38,5.19,531,"[0, 0, 0, 0, 0]",89746.38,Alberta,3665.23,53,144547.7,Personal,0,This record falls within expected operational limits.
159,56711.45,4.62,600,"[0, 0, 0, 0, 0]",56711.45,Alberta,-2592.96,61,126990.12,Personal,0,This record falls within expected operational limits.
160,35080.37,5.03,806,"[0, 0, 0, 1, 0]",34080.37,Ontario,634.74,60,76812.38,Business,0,This record falls within expected operational limits.
161,80764.66,2.41,763,"[0, 0, 0, 1, 0]",79764.66,Alberta,3830.3,51,81889.7,Business,0,This record falls within expected operational limits.
162,121521.08,4.36,725,"[0, 1, 1, 0, 1]",118521.08,Manitoba,892.02,65,104377.53,Mortgage,0,This record falls within expected operational limits.
163,126220.07,2.74,821,"[0, 1, 0, 0, 0]",125220.07,Manitoba,5658.83,25,69374.17,Personal,1,"This record shows an unusually high value compared to normal behavior. It exceeds typical operational ranges and falls beyond established thresholds, indicating a potential data integrity or risk concern."
164,23340.02,6.29,659,"[1, 0, 1, 0, 0]",21340.02,Manitoba,1821.0,46,48567.89,Mortgage,0,This record falls within expected operational limits.
165,77007.34,5.85,720,"[0, 0, 0, 0, 1]",76007.34,Manitoba,2581.72,29,111416.19,Personal,0,This record falls within expected operational limits.
166,129485.87,4.0,557,"[0, 0, 0, 0, 0]",129485.87,Quebec,2441.98,32,107573.79,Business,0,This record falls within expected operational limits.
167,107020.71,5.88,604,"[0, 0, 0, 0, 0]",107020.71,British Columbia,661.37,48,54540.38,Personal,0,This record falls within expected operational limits.
168,72425.99,7.36,647,"[0, 0, 0, 0, 0]",72425.99,Quebec,1780.23,40,151494.94,Mortgage,0,This record falls within expected operational limits.
169,54551.23,4.43,700,"[0, 0, 0, 0, 0]",54551.23,Quebec,784.51,66,23996.18,Personal,0,This record falls within expected operational limits.
170,49256.67,5.79,615,"[0, 0, 1, 0, 0]",48256.67,Quebec,4335.33,22,44165.97,Mortgage,0,This record falls within expected operational limits.
171,124882.03,3.41,598,"[0, 0, 0, 0, 0]",124882.03,Quebec,1921.92,55,89351.45,Mortgage,0,This record falls within expected operational limits.
172,140541.58,3.67,827,"[0, 0, 1, 0, 1]",138541.58,Quebec,1632.07,70,102705.17,Mortgage,0,This record falls within expected operational limits.
173,53830.53,4.96,691,"[0, 0, 0, 0, 1]",52830.53,Ontario,-171.45,26,104330.78,Personal,0,This record falls within expected operational limits.
174,66114.02,8.08,586,"[0, 1, 0, 0, 0]",65114.02,Quebec,1597.54,62,68965.84,Business,0,This record falls within expected operational limits.
175,6955.09,6.52,719,"[0, 1, 0, 0, 0]",5955.09,Quebec,623.4,56,46150.04,Mortgage,0,This record falls within expected operational limits.
176,20263.6,4.4,594,"[0, 0, 0, 0, 0]",20263.6,Quebec,149.25,57,59480.38,Mortgage,0,This record falls within expected operational limits.
177,141002.89,7.24,605,"[0, 0, 0, 1, 0]",140002.89,Alberta,5062.92,67,33269.6,Personal,0,This record falls within expected operational limits.
178,82553.21,6.67,627,"[0, 0, 0, 0, 0]",82553.21,Alberta,5326.2,34,87206.31,Personal,0,This record falls within expected operational limits.
179,30618.3,6.47,698,"[0, 0, 0, 1, 1]",28618.3,Ontario,-1210.06,39,92556.21,Personal,0,This record falls within expected operational limits.
180,70736.46,5.37,782,"[0, 0, 0, 0, 0]",70736.46,Manitoba,2402.35,67,40460.77,Business,0,This record falls within expected operational limits.
181,115477.8,5.22,738,"[0, 0, 0, 0, 1]",114477.8,Alberta,2295.61,46,34655.74,Business,0,This record falls within expected operational limits.
182,93277.42,7.36,621,"[1, 1, 0, 0, 1]",90277.42,British Columbia,2894.7,52,107021.48,Mortgage,0,This record falls within expected operational limits.
183,111688.95,5.14,648,"[0, 0, 0, 0, 0]",111688.95,Quebec,-515.44,64,82999.86,Mortgage,0,This record falls within expected operational limits.
184,49381.69,6.64,647,"[1, 0, 0, 0, 0]",48381.69,British Columbia,2294.73,59,80578.59,Personal,0,This record falls within expected operational limits.
185,55043.38,4.95,630,"[0, 1, 1, 1, 0]",52043.38,Quebec,598.76,26,114968.38,Mortgage,0,This record falls within expected operational limits.
186,-34021.52,5.19,632,"[0, 1, 0, 0, 0]",-35021.52,British Columbia,2192.83,48,61919.08,Business,0,This record falls within expected operational limits.
